sort,VarID,VarTitle,VarDescription,VarCategory,VarType,Source,LineID_Code,Count,Code,CodeDescription,ShortName,EA_ConversionRules,Notes
152,,,,,,,34_1,151,1,States are small.,Small,EA090 = 5,
153,,,,,,,34_2,150,2,States are large.,Large,EA090 = 6,
154,V35,Extra-Local Jurisdictional Hierarchies,The number of non-local levels of political authority that govern a community.,Politics,Ordinal,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),35_NA,136,NA,Missing data,Missing data,,
155,,,,,,,35_1,523,1,"No political authority beyond community (e.g., autonomous bands and villages)",Zero,EA033 = 1,
156,,,,,,,35_2,344,2,"One level (e.g., petty chiefdoms)",One,EA033 = 2,
157,,,,,,,35_3,166,3,"Two levels (e.g., larger chiefdoms) ",Two,EA033 = 3,
158,,,,,,,35_4,106,4,"Three levels (e.g., states)",Three,EA033 = 4,
159,,,,,,,35_5,36,5,"Four levels (e.g., large states)",Four,EA033 = 5,
160,V36,Political Succession,Type of succession to the office of local headman (without reference to high levels of political organization).,Politics,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),36_NA,359,NA,Missing data,Missing data,,
161,,,,,,,36_1,112,1,Absence of headman.,Absence,EA072 = 9,
162,,,,,,,36_2,90,2,Election or other formal mode of choosing a headman.,Consensus,EA072 = 7,Coding instructions mention elections for 36_2 but conversion rules place elections in 36_6.
163,,,,,,,36_3,27,3,One of the senior members of the community is chosen.,Seniority,EA072 = 4,
164,,,,,,,36_4,514,4,"Any system, where succession is hereditary.",Hereditary,EA072 = 1 or 2,
165,,,,,,,36_5,44,5,"The choice is informal, based on riches, social standing or the like.",Informal,EA072 = 5,
166,,,,,,,36_6,165,6,Any other non-hereditary system not described by one of the other categories.,Other Non Hereditary,EA072 = 3 or 6,
167,V37,High Gods,The culture's religious beliefs about high gods.,Ritual,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),37_NA,521,NA,Missing data,Missing data,,
168,,,,,,,37_1,284,1,"A group with no belief in a high god (instead a belief in spirits, in nature, in animal helpers or ancestors).",Absent,EA034 = 1,
169,,,,,,,37_2,250,2,"A high god is believed to exist, but is not concerned with human affairs.",Otiose,EA034 = 2,
170,,,,,,,37_3,44,3,"A high god exists and is active in human affairs, but does not offer positive support to human morality.",No-Involvement,EA034 = 3,
171,,,,,,,37_4,212,4,"A high god exists, and is involved with human morality.",Involved,EA034 = 4,
172,V38,Types of Games,"Distinguishes between cultures that  have no games, those that have games of physical skill alone, those that have both games of physical skill and chance, and those that, in addition, have games of strategy (like checkers).",Games,Categorical,Murdock (1962-1971); Lomax et al. (1971); Kirby et al. (2016); Wood (2021),38_NA,832,NA,Missing data,Missing data,,
173,,,,,,,38_1,29,1,No games.,Absent,EA035 = 1,
174,,,,,,,38_2,110,2,"Games of physical skill only, or games of chance only.",Physical-or-Chance,EA035 = 2 or 3,
175,,,,,,,38_3,252,3,Games of physical skill and of chance both present.,Physical-and-Chance,EA035 = 4,"Coding instructions describe the code as such, but conversion rules say that 38_3 corresponds with EA035_5. This seems like an error."
176,,,,,,,38_4,88,4,"Other types of games are present in the society, including games of strategy, which may also include elements of physical skill and/or chance.",Others,EA035 ≥ 5,
